source,target,set
Ist3,Erg6,PPI
Ist3,Ape1,PPI
Ist3,Sec31,PPI
Ist3,Rpa135,PPI
Ist3,Hxk1,PPI
Ist3,Cop1,PPI
Ist3,Pml1,PPI
Ist3,Rpo31,PPI
Ist3,Ura1,PPI
Ist3,Mss116,PPI
Ist3,Aro4,PPI
Ist3,Rpn7,PPI
Ist3,Idh2,PPI
Ist3,Gcn1,PPI
Ist3,Rpn9,PPI
Ist3,Sir4,PPI
Ist3,Hsh155,PPI
Ist3,Net1,PPI
Ist3,Aro1,PPI
Ist3,Rpn2,PPI
Ist3,Prp8,PPI
Ist3,Sam2,PPI
Ist3,Frs2,PPI
Ist3,Sti1,PPI
Ist3,Glo1,PPI
Ist3,Nop7,PPI
Ist3,Prp19,PPI
Ist3,Cct6,PPI
Ist3,Snu114,PPI
Ist3,Tdh1,PPI
Ist3,Rpt2,PPI
Ist3,Pup2,PPI
Ist3,Bgl2,PPI
Ist3,Uba1,PPI
Ist3,Sec14,PPI
Ist3,Brr2,PPI
Ist3,Rpt5,PPI
Ist3,Ist3,PPI
Ist3,Dld3,RNAmediated
Ist3,Pab1,RNAmediated
Ist3,Lsm12,RNAmediated
Ist3,She2,RNAmediated
Ist3,Xrn1,RNAmediated
Ist3,Rrp5,RNAmediated
Ist3,Imd4,RNAmediated
Ist3,Hho1,RNAmediated
Ist3,Tma20,RNAmediated
Ist3,Hmo1,RNAmediated
Ist3,Nam7,RNAmediated
Ist3,Imd3,RNAmediated
Ist3,Bfr1,RNAmediated
Ist3,Ubp3,RNAmediated
Cbc2,Prp40,Overlap
Cbc2,Prp39,Overlap
Cbc2,Snu71,Overlap
Cbc2,Mud1,Overlap
Cbc2,Luc7,Overlap
Cbc2,Prp42,Overlap
Cbc2,Prp19,Overlap
Cbc2,Snu114,Overlap
Cbc2,Sto1,PPI
Cbc2,Cbc2,PPI
Cbc2,Brr2,PPI
Cbc2,Yhc1,PPI
Cbc2,Kap95,PPI
Cbc2,Snu56,PPI
Cbc2,Cct7,PPI
Cbc2,Rsm26,PPI
Cbc2,Nrd1,PPI
Cbc2,Tif4631,PPI
Cbc2,Srp1,PPI
Cbc2,Ypk1,PPI
Cbc2,Snp1,PPI
Cbc2,Yhb1,PPI
Cbc2,Smd2,PPI
Cbc2,Cdc11,PPI
Cbc2,Prp8,PPI
Cbc2,Csr1,PPI
Cbc2,Erg1,PPI
Cbc2,Erg6,PPI
Cbc2,Smb1,PPI
Cbc2,Nop12,PPI
Cbc2,Nab3,PPI
Cbc2,Tma22,PPI
Cbc2,Pap2,PPI
Cbc2,Ubc4,PPI
Cbc2,Lsg1,PPI
Cbc2,Fpr3,PPI
Cbc2,Ade3,PPI
Cbc2,Imd4,RNAmediated
Cbc2,Pab1,RNAmediated
Cbc2,Rse1,RNAmediated
Cbc2,Cus1,RNAmediated
Cbc2,Imd3,RNAmediated
Cbc2,Xrn1,RNAmediated
Cbc2,Rrp5,RNAmediated
Cbc2,Cdc33,RNAmediated
Cbc2,Hmo1,RNAmediated
Cbc2,Thp2,RNAmediated
Cbc2,Hsh155,RNAmediated
Cbc2,Nop13,RNAmediated
Cbc2,Rbg1,RNAmediated
Cbc2,Sbp1,RNAmediated
Cbc2,Prp21,RNAmediated
Cbc2,Sro9,RNAmediated
Cbc2,Nam7,RNAmediated
Cbc2,Mgm101,RNAmediated
Cbc2,Scp160,RNAmediated
Cbc2,Tma46,RNAmediated
Cbc2,Smd1,RNAmediated
Cbc2,Rrp7,RNAmediated
Cbc2,Rpa43,RNAmediated
Cbc2,Vma8,RNAmediated
Cbc2,Tif4632,RNAmediated
Cbc2,Ubp3,RNAmediated
Cbc2,Dbp2,RNAmediated
Cbc2,Yra1,RNAmediated
Cbc2,Hho1,RNAmediated
Cbc2,Utp22,RNAmediated
Cbc2,Nam8,RNAmediated
Cbc2,Bre5,RNAmediated
Cbc2,Rsm7,RNAmediated
Cbc2,Nop10,RNAmediated
Cbc2,Bfr1,RNAmediated
Msl1,Prp19,Overlap
Msl1,Lea1,PPI
Msl1,Msl1,PPI
Msl1,Kri1,PPI
Msl1,Pno1,PPI
Msl1,Spt15,PPI
Msl1,Tdh1,PPI
Msl1,Gcv2,PPI
Msl1,Cdc14,PPI
Msl1,Ade12,PPI
Msl1,Pab1,RNAmediated
Msl1,Imd3,RNAmediated
Msl1,Hsh155,RNAmediated
Msl1,Bfr1,RNAmediated
Msl1,Hho1,RNAmediated
Msl1,Sbp1,RNAmediated
Msl1,Rse1,RNAmediated
Msl1,Hmo1,RNAmediated
Msl1,Mgm101,RNAmediated
Msl1,Ubp3,RNAmediated
Msl1,Rrp5,RNAmediated
Msl1,Hrb1,RNAmediated
Msl1,Xrn1,RNAmediated
Msl1,Nop6,RNAmediated
Msl1,Prp21,RNAmediated
Msl1,Scp160,RNAmediated
Msl1,Cdc60,RNAmediated
Msl1,Tif4632,RNAmediated
Msl1,Cef1,RNAmediated
Msl1,Smd1,RNAmediated
Msl1,Rbg1,RNAmediated
Msl1,Sxm1,RNAmediated
Msl1,Tma46,RNAmediated
Msl1,Imd4,RNAmediated
Msl1,Prp46,RNAmediated
Msl1,Trm1,RNAmediated
Msl1,Utp22,RNAmediated
Msl1,Yra1,RNAmediated
Msl1,Sec4,RNAmediated
Msl1,Smb1,RNAmediated
Msl1,Brr2,RNAmediated
Lsm2,Prp3,Overlap
Lsm2,Prp38,Overlap
Lsm2,Smb1,Overlap
Lsm2,Smd2,Overlap
Lsm2,Brr2,Overlap
Lsm2,Prp24,Overlap
Lsm2,Snu23,Overlap
Lsm2,Prp4,Overlap
Lsm2,Snu114,Overlap
Lsm2,Rpa43,Overlap
Lsm2,Prp8,Overlap
Lsm2,Lsm2,PPI
Lsm2,Lsm6,PPI
Lsm2,Lsm4,PPI
Lsm2,Enp1,PPI
Lsm2,Lsm8,PPI
Lsm2,Lsm3,PPI
Lsm2,Bcs1,PPI
Lsm2,Lsm1,PPI
Lsm2,Lsm7,PPI
Lsm2,Prp31,PPI
Lsm2,Tcp1,PPI
Lsm2,Pat1,PPI
Lsm2,Sup45,PPI
Lsm2,Cad1,PPI
Lsm2,Lsm5,PPI
Lsm2,Rpg1,PPI
Lsm2,Pet123,PPI
Lsm2,Gpx2,PPI
Lsm2,Mrps9,PPI
Lsm2,Gcd1,PPI
Lsm2,Csr1,PPI
Lsm2,Mrp13,PPI
Lsm2,Mir1,PPI
Lsm2,Pdc1,PPI
Lsm2,Nab3,PPI
Lsm2,Hog1,PPI
Lsm2,Mrps16,PPI
Lsm2,Gfa1,PPI
Lsm2,Hgh1,PPI
Lsm2,Mrpl23,PPI
Lsm2,Mrps17,PPI
Lsm2,Mrpl3,PPI
Lsm2,Ade12,PPI
Lsm2,Cpa2,PPI
Lsm2,Lys20,PPI
Lsm2,Prs3,PPI
Lsm2,Prp6,PPI
Lsm2,Dim1,PPI
Lsm2,Mrps28,PPI
Lsm2,Prs4,PPI
Lsm2,Spp381,PPI
Lsm2,Snu66,PPI
Lsm2,Tub1,PPI
Lsm2,Nam9,PPI
Lsm2,Mtr4,PPI
Lsm2,YPL225W,PPI
Lsm2,Trm1,RNAmediated
Lsm2,Pab1,RNAmediated
Lsm2,Rbg1,RNAmediated
Lsm2,Imd3,RNAmediated
Lsm2,Smd1,RNAmediated
Lsm2,Utp22,RNAmediated
Lsm2,Bfr1,RNAmediated
Lsm2,Hmo1,RNAmediated
Lsm2,Mrpl1,RNAmediated
Lsm2,Cus1,RNAmediated
Lsm2,Hho1,RNAmediated
Lsm2,Mss116,RNAmediated
Lsm2,Xrn1,RNAmediated
Lsm2,Imp4,RNAmediated
Lsm2,Nop4,RNAmediated
Lsm2,Rse1,RNAmediated
Lsm2,Mgm101,RNAmediated
Lsm2,Gly1,RNAmediated
Lsm2,Tma46,RNAmediated
Lsm2,Stm1,RNAmediated
Lsm2,Kri1,RNAmediated
Lsm2,Rrp5,RNAmediated
Lsm2,Yra1,RNAmediated
Lsm2,Hsh155,RNAmediated
Lsm2,Ape3,RNAmediated
Lsm2,Ubp3,RNAmediated
Lsm2,Dps1,RNAmediated
Lsm2,Pre8,RNAmediated
Lsm2,Sro9,RNAmediated
Lsm2,Nop12,RNAmediated
Lsm2,Rli1,RNAmediated
Lsm2,Mrpl11,RNAmediated
Lsm2,Dib1,RNAmediated
Lsm2,Fas1,RNAmediated
Lsm2,Scp160,RNAmediated
Lsm2,Ura5,RNAmediated
Lsm2,Smd3,RNAmediated
Lsm2,YML6,RNAmediated
Snp1,Snu56,PPI
Snp1,Snu71,PPI
Snp1,Luc7,PPI
Snp1,Snp1,PPI
Snp1,Yhc1,PPI
Snp1,Mud1,PPI
Snp1,Prp40,PPI
Snp1,Smd3,PPI
Snp1,Smb1,PPI
Snp1,Smd1,PPI
Snp1,Nam8,PPI
Snp1,Smd2,PPI
Snp1,Prp42,PPI
Snp1,Prp39,PPI
Snp1,Rsm26,PPI
Snp1,Cad1,PPI
Snp1,Rpc82,PPI
Snp1,Hrp1,PPI
Snp1,Rps26b,PPI
Snp1,Trm1,PPI
Snp1,Xrn1,RNAmediated
Snp1,Pab1,RNAmediated
Snp1,Sto1,RNAmediated
Snp1,Hmo1,RNAmediated
Snp1,Rrp5,RNAmediated
Snp1,Imd3,RNAmediated
Snp1,Nop13,RNAmediated
Snp1,Sbp1,RNAmediated
Snp1,Rbg1,RNAmediated
Snp1,Nop6,RNAmediated
Snp1,Bfr1,RNAmediated
Snp1,Rse1,RNAmediated
Snp1,Pre3,RNAmediated
Snp1,Bmh2,RNAmediated
Hsh49,Nam7,Overlap
Hsh49,Hsh49,PPI
Hsh49,Rse1,PPI
Hsh49,Ilv1,PPI
Hsh49,Hsh155,PPI
Hsh49,Rds3,PPI
Hsh49,Svl3,PPI
Hsh49,Cap1,PPI
Hsh49,Erg1,PPI
Hsh49,Age2,PPI
Hsh49,Gcv2,PPI
Hsh49,Ape1,PPI
Hsh49,Hhf2,PPI
Hsh49,Rpt1,PPI
Hsh49,Rpb5,PPI
Hsh49,Nab3,PPI
Hsh49,Acs2,PPI
Hsh49,Brx1,PPI
Hsh49,Rpc82,PPI
Hsh49,Fmp52,PPI
Hsh49,Cus1,PPI
Hsh49,Trm1,PPI
Hsh49,YHR214C-B,PPI
Hsh49,YMR315W,PPI
Hsh49,Xrn1,RNAmediated
Hsh49,Pab1,RNAmediated
Hsh49,Bmh2,RNAmediated
Hsh49,Imd4,RNAmediated
Hsh49,Imd3,RNAmediated
Hsh49,Utp4,RNAmediated
Hsh49,Utp22,RNAmediated
Hsh49,Rrp5,RNAmediated
Hsh49,Ubp3,RNAmediated
Hsh49,Mgm101,RNAmediated
Hsh49,Nop13,RNAmediated
Hsh49,Nop6,RNAmediated
Hsh49,Yra1,RNAmediated
Hsh49,Hmo1,RNAmediated
Hsh49,Nop4,RNAmediated
Hsh49,Hho1,RNAmediated
Hsh49,Bfr1,RNAmediated
Hsh49,Nop12,RNAmediated
Sto1,Prp42,Overlap
Sto1,Yhc1,Overlap
Sto1,Smd1,Overlap
Sto1,Hsh155,Overlap
Sto1,Mud1,Overlap
Sto1,Snp1,Overlap
Sto1,Prp40,Overlap
Sto1,Pap2,Overlap
Sto1,Snu71,Overlap
Sto1,Prp39,Overlap
Sto1,Nam8,Overlap
Sto1,Snu56,Overlap
Sto1,Air2,Overlap
Sto1,Nrd1,Overlap
Sto1,Rse1,Overlap
Sto1,Smb1,Overlap
Sto1,Smd2,Overlap
Sto1,Prp19,Overlap
Sto1,Nab3,Overlap
Sto1,Cus1,Overlap
Sto1,Prp21,Overlap
Sto1,Luc7,Overlap
Sto1,Iki1,PPI
Sto1,Cbc2,PPI
Sto1,Brr2,PPI
Sto1,Cwc2,PPI
Sto1,Prp6,PPI
Sto1,Syf1,PPI
Sto1,Clf1,PPI
Sto1,Erg1,PPI
Sto1,Prp8,PPI
Sto1,Cef1,PPI
Sto1,Prp31,PPI
Sto1,Prp45,PPI
Sto1,Snu114,PPI
Sto1,Erg26,PPI
Sto1,Elp6,PPI
Sto1,Sto1,PPI
Sto1,Fpr3,PPI
Sto1,Ecm2,PPI
Sto1,Snu23,PPI
Sto1,Isy1,PPI
Sto1,Cwc22,PPI
Sto1,Srp1,PPI
Sto1,Ald4,PPI
Sto1,Prp4,PPI
Sto1,Cad1,PPI
Sto1,Ara1,PPI
Sto1,Smd3,PPI
Sto1,Gde1,PPI
Sto1,Pnc1,PPI
Sto1,Whi3,RNAmediated
Sto1,Trm1,RNAmediated
Sto1,Brr1,RNAmediated
Sto1,Rbg1,RNAmediated
Sto1,Prp46,RNAmediated
Sto1,Imd3,RNAmediated
Sto1,Mdj1,RNAmediated
Sto1,Nop13,RNAmediated
Sto1,Yra2,RNAmediated
Sto1,Mgm101,RNAmediated
Sto1,Hho1,RNAmediated
Sto1,Pab1,RNAmediated
Sto1,Xrn1,RNAmediated
Sto1,Gcv1,RNAmediated
Sto1,Hrb1,RNAmediated
Sto1,Tho2,RNAmediated
Sto1,Tif4632,RNAmediated
Sto1,Sbp1,RNAmediated
Sto1,Mft1,RNAmediated
Sto1,Nop4,RNAmediated
Sto1,Hpr1,RNAmediated
Sto1,Rrp5,RNAmediated
Sto1,Imd4,RNAmediated
Sto1,Esf1,RNAmediated
Sto1,Hek2,RNAmediated
Sto1,Nit3,RNAmediated
Sto1,Hmo1,RNAmediated
Sto1,Yra1,RNAmediated
Sto1,Ubp3,RNAmediated
Sto1,Bfr1,RNAmediated
Sto1,Sro9,RNAmediated
Sto1,Cdc33,RNAmediated
Sto1,Nop6,RNAmediated
Sto1,Erg5,RNAmediated
Sto1,Tex1,RNAmediated
Sto1,Pat1,RNAmediated
Sto1,Cwc15,RNAmediated
Sto1,Bre5,RNAmediated
Sto1,Rcn2,RNAmediated
Sto1,Mri1,RNAmediated
Sto1,Lhp1,RNAmediated
Sto1,Nif3,RNAmediated
Sto1,She2,RNAmediated
Sto1,Grx3,RNAmediated
Sto1,Prp9,RNAmediated
Sto1,Tpd3,RNAmediated
Sto1,Gpp2,RNAmediated
Sto1,Prs5,RNAmediated
Dhh1,Nop4,Overlap
Dhh1,Ssd1,Overlap
Dhh1,Xrn1,Overlap
Dhh1,Ebs1,Overlap
Dhh1,Hmo1,Overlap
Dhh1,Pat1,Overlap
Dhh1,Nam7,Overlap
Dhh1,Lsm1,PPI
Dhh1,Lsm4,PPI
Dhh1,Lsm7,PPI
Dhh1,Dcp1,PPI
Dhh1,Lsm2,PPI
Dhh1,Rpm2,PPI
Dhh1,Ufd4,PPI
Dhh1,Nmd4,PPI
Dhh1,Dhh1,PPI
Dhh1,Lsm3,PPI
Dhh1,Pwp2,PPI
Dhh1,Tor1,PPI
Dhh1,Vtc1,PPI
Dhh1,Bro1,PPI
Dhh1,Bms1,PPI
Dhh1,Fpr3,PPI
Dhh1,Rpb8,PPI
Dhh1,Sro9,PPI
Dhh1,Mon2,PPI
Dhh1,Ecm16,PPI
Dhh1,Vma13,PPI
Dhh1,Mrpl22,PPI
Dhh1,Hrr25,PPI
Dhh1,Kog1,PPI
Dhh1,Brr2,PPI
Dhh1,Mrpl17,PPI
Dhh1,Rsc9,PPI
Dhh1,Rps29a,PPI
Dhh1,Gin4,PPI
Dhh1,Fun30,PPI
Dhh1,Tpd3,PPI
Dhh1,Edc3,PPI
Dhh1,Utp20,PPI
Dhh1,Rps2,PPI
Dhh1,Fpr1,PPI
Dhh1,Mrpl7,PPI
Dhh1,Ccr4,PPI
Dhh1,Rrg8,PPI
Dhh1,Hxk1,PPI
Dhh1,Glk1,PPI
Dhh1,Mdn1,PPI
Dhh1,Pbp4,PPI
Dhh1,Hhf2,PPI
Dhh1,Sac6,PPI
Dhh1,Rpl18a,PPI
Dhh1,Mdj1,PPI
Dhh1,Ils1,PPI
Dhh1,Mrpl15,PPI
Dhh1,Gsp1,PPI
Dhh1,Atp2,PPI
Dhh1,Tif11,PPI
Dhh1,Gyp5,PPI
Dhh1,Npa3,PPI
Dhh1,Cof1,PPI
Dhh1,Rvs161,PPI
Dhh1,Pro3,PPI
Dhh1,Dcp2,PPI
Dhh1,Ade2,PPI
Dhh1,Kes1,PPI
Dhh1,Hsp82,PPI
Dhh1,Trx1,PPI
Dhh1,Ski3,PPI
Dhh1,Ecm29,PPI
Dhh1,Yop1,PPI
Dhh1,Mir1,PPI
Dhh1,Atp1,PPI
Dhh1,YLR419W,PPI
Dhh1,YNR021W,PPI
Dhh1,Pab1,RNAmediated
Dhh1,Tif4632,RNAmediated
Dhh1,Nop12,RNAmediated
Dhh1,Rgd2,RNAmediated
Dhh1,Bre5,RNAmediated
Dhh1,Utp22,RNAmediated
Dhh1,Trm1,RNAmediated
Dhh1,Hho1,RNAmediated
Dhh1,Rsc6,RNAmediated
Dhh1,Ubp3,RNAmediated
Dhh1,Rrp5,RNAmediated
Dhh1,Snf12,RNAmediated
Dhh1,Mis1,RNAmediated
Dhh1,Pus4,RNAmediated
Dhh1,Gbp2,RNAmediated
Dhh1,Efg1,RNAmediated
Dhh1,Tif4631,RNAmediated
Dhh1,Tma46,RNAmediated
Dhh1,Swi3,RNAmediated
Dhh1,Gcd14,RNAmediated
Dhh1,Imd3,RNAmediated
Dhh1,Imd4,RNAmediated
Dhh1,Tma64,RNAmediated
Dhh1,Arp7,RNAmediated
Dhh1,Mgm101,RNAmediated
Dhh1,Prd1,RNAmediated
Dhh1,Gcd10,RNAmediated
Dhh1,Nop13,RNAmediated
Dhh1,Rbg1,RNAmediated
Dhh1,Yra1,RNAmediated
Dhh1,Ecm32,RNAmediated
Dhh1,Cbp2,RNAmediated
Dhh1,Nab3,RNAmediated
Dhh1,Pol2,RNAmediated
Dhh1,Bfr1,RNAmediated
Dhh1,Rrp7,RNAmediated
Dhh1,Dur12,RNAmediated
Dhh1,Cse1,RNAmediated
