"category_loop","colors_interaction_loop","complex","interaction","n_complex","name","selected","shared interaction","shared name"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Nop12","false","interacts with","Hsh49 (interacts with) Nop12"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Bfr1","false","interacts with","Hsh49 (interacts with) Bfr1"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Hho1","false","interacts with","Hsh49 (interacts with) Hho1"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Nop4","false","interacts with","Hsh49 (interacts with) Nop4"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Hmo1","false","interacts with","Hsh49 (interacts with) Hmo1"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Yra1","false","interacts with","Hsh49 (interacts with) Yra1"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Nop6","false","interacts with","Hsh49 (interacts with) Nop6"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Nop13","false","interacts with","Hsh49 (interacts with) Nop13"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Mgm101","false","interacts with","Hsh49 (interacts with) Mgm101"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Ubp3","false","interacts with","Hsh49 (interacts with) Ubp3"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Rrp5","false","interacts with","Hsh49 (interacts with) Rrp5"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Utp22","false","interacts with","Hsh49 (interacts with) Utp22"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Utp4","false","interacts with","Hsh49 (interacts with) Utp4"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Imd3","false","interacts with","Hsh49 (interacts with) Imd3"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Imd4","false","interacts with","Hsh49 (interacts with) Imd4"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Bmh2","false","interacts with","Hsh49 (interacts with) Bmh2"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Pab1","false","interacts with","Hsh49 (interacts with) Pab1"
"RNAmediated","#D95F02",,"interacts with",,"Hsh49 (interacts with) Xrn1","false","interacts with","Hsh49 (interacts with) Xrn1"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Ymr315w","false","interacts with","Hsh49 (interacts with) Ymr315w"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Yhr214c-B","false","interacts with","Hsh49 (interacts with) Yhr214c-B"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Trm1","false","interacts with","Hsh49 (interacts with) Trm1"
"PPI","#66A61E","U2 snRNP complex","interacts with","18","Hsh49 (interacts with) Cus1","false","interacts with","Hsh49 (interacts with) Cus1"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Fmp52","false","interacts with","Hsh49 (interacts with) Fmp52"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Rpc82","false","interacts with","Hsh49 (interacts with) Rpc82"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Brx1","false","interacts with","Hsh49 (interacts with) Brx1"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Acs2","false","interacts with","Hsh49 (interacts with) Acs2"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Nab3","false","interacts with","Hsh49 (interacts with) Nab3"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Rpb5","false","interacts with","Hsh49 (interacts with) Rpb5"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Rpt1","false","interacts with","Hsh49 (interacts with) Rpt1"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Hhf2","false","interacts with","Hsh49 (interacts with) Hhf2"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Ape1","false","interacts with","Hsh49 (interacts with) Ape1"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Gcv2","false","interacts with","Hsh49 (interacts with) Gcv2"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Age2","false","interacts with","Hsh49 (interacts with) Age2"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Erg1","false","interacts with","Hsh49 (interacts with) Erg1"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Cap1","false","interacts with","Hsh49 (interacts with) Cap1"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Svl3","false","interacts with","Hsh49 (interacts with) Svl3"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Rds3","false","interacts with","Hsh49 (interacts with) Rds3"
"PPI","#66A61E","U2 snRNP complex","interacts with","18","Hsh49 (interacts with) Hsh155","false","interacts with","Hsh49 (interacts with) Hsh155"
"PPI","#66A61E",,"interacts with",,"Hsh49 (interacts with) Ilv1","false","interacts with","Hsh49 (interacts with) Ilv1"
"PPI","#66A61E","U2 snRNP complex","interacts with","18","Hsh49 (interacts with) Rse1","false","interacts with","Hsh49 (interacts with) Rse1"
"Overlap","#7570B3",,"interacts with",,"Hsh49 (interacts with) Nam7","false","interacts with","Hsh49 (interacts with) Nam7"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Yml6","false","interacts with","Lsm2 (interacts with) Yml6"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Smd3","false","interacts with","Lsm2 (interacts with) Smd3"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Ura5","false","interacts with","Lsm2 (interacts with) Ura5"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Scp160","false","interacts with","Lsm2 (interacts with) Scp160"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Fas1","false","interacts with","Lsm2 (interacts with) Fas1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Dib1","false","interacts with","Lsm2 (interacts with) Dib1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Mrpl11","false","interacts with","Lsm2 (interacts with) Mrpl11"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Rli1","false","interacts with","Lsm2 (interacts with) Rli1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Nop12","false","interacts with","Lsm2 (interacts with) Nop12"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Sro9","false","interacts with","Lsm2 (interacts with) Sro9"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Pre8","false","interacts with","Lsm2 (interacts with) Pre8"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Dps1","false","interacts with","Lsm2 (interacts with) Dps1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Ubp3","false","interacts with","Lsm2 (interacts with) Ubp3"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Ape3","false","interacts with","Lsm2 (interacts with) Ape3"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Hsh155","false","interacts with","Lsm2 (interacts with) Hsh155"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Yra1","false","interacts with","Lsm2 (interacts with) Yra1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Rrp5","false","interacts with","Lsm2 (interacts with) Rrp5"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Kri1","false","interacts with","Lsm2 (interacts with) Kri1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Stm1","false","interacts with","Lsm2 (interacts with) Stm1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Tma46","false","interacts with","Lsm2 (interacts with) Tma46"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Gly1","false","interacts with","Lsm2 (interacts with) Gly1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Mgm101","false","interacts with","Lsm2 (interacts with) Mgm101"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Rse1","false","interacts with","Lsm2 (interacts with) Rse1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Nop4","false","interacts with","Lsm2 (interacts with) Nop4"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Imp4","false","interacts with","Lsm2 (interacts with) Imp4"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Xrn1","false","interacts with","Lsm2 (interacts with) Xrn1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Mss116","false","interacts with","Lsm2 (interacts with) Mss116"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Hho1","false","interacts with","Lsm2 (interacts with) Hho1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Cus1","false","interacts with","Lsm2 (interacts with) Cus1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Mrpl1","false","interacts with","Lsm2 (interacts with) Mrpl1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Hmo1","false","interacts with","Lsm2 (interacts with) Hmo1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Bfr1","false","interacts with","Lsm2 (interacts with) Bfr1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Utp22","false","interacts with","Lsm2 (interacts with) Utp22"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Smd1","false","interacts with","Lsm2 (interacts with) Smd1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Imd3","false","interacts with","Lsm2 (interacts with) Imd3"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Rbg1","false","interacts with","Lsm2 (interacts with) Rbg1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Pab1","false","interacts with","Lsm2 (interacts with) Pab1"
"RNAmediated","#D95F02",,"interacts with",,"Lsm2 (interacts with) Trm1","false","interacts with","Lsm2 (interacts with) Trm1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Ypl225w","false","interacts with","Lsm2 (interacts with) Ypl225w"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Mtr4","false","interacts with","Lsm2 (interacts with) Mtr4"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Nam9","false","interacts with","Lsm2 (interacts with) Nam9"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Tub1","false","interacts with","Lsm2 (interacts with) Tub1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Snu66","false","interacts with","Lsm2 (interacts with) Snu66"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Spp381","false","interacts with","Lsm2 (interacts with) Spp381"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Prs4","false","interacts with","Lsm2 (interacts with) Prs4"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Mrps28","false","interacts with","Lsm2 (interacts with) Mrps28"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Dim1","false","interacts with","Lsm2 (interacts with) Dim1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Prp6","false","interacts with","Lsm2 (interacts with) Prp6"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Prs3","false","interacts with","Lsm2 (interacts with) Prs3"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Lys20","false","interacts with","Lsm2 (interacts with) Lys20"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Cpa2","false","interacts with","Lsm2 (interacts with) Cpa2"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Ade12","false","interacts with","Lsm2 (interacts with) Ade12"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Mrpl3","false","interacts with","Lsm2 (interacts with) Mrpl3"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Mrps17","false","interacts with","Lsm2 (interacts with) Mrps17"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Mrpl23","false","interacts with","Lsm2 (interacts with) Mrpl23"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Hgh1","false","interacts with","Lsm2 (interacts with) Hgh1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Gfa1","false","interacts with","Lsm2 (interacts with) Gfa1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Mrps16","false","interacts with","Lsm2 (interacts with) Mrps16"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Hog1","false","interacts with","Lsm2 (interacts with) Hog1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Nab3","false","interacts with","Lsm2 (interacts with) Nab3"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Pdc1","false","interacts with","Lsm2 (interacts with) Pdc1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Mir1","false","interacts with","Lsm2 (interacts with) Mir1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Mrp13","false","interacts with","Lsm2 (interacts with) Mrp13"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Csr1","false","interacts with","Lsm2 (interacts with) Csr1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Gcd1","false","interacts with","Lsm2 (interacts with) Gcd1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Mrps9","false","interacts with","Lsm2 (interacts with) Mrps9"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Gpx2","false","interacts with","Lsm2 (interacts with) Gpx2"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Pet123","false","interacts with","Lsm2 (interacts with) Pet123"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Rpg1","false","interacts with","Lsm2 (interacts with) Rpg1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Lsm5","false","interacts with","Lsm2 (interacts with) Lsm5"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Cad1","false","interacts with","Lsm2 (interacts with) Cad1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Sup45","false","interacts with","Lsm2 (interacts with) Sup45"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Pat1","false","interacts with","Lsm2 (interacts with) Pat1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Tcp1","false","interacts with","Lsm2 (interacts with) Tcp1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Prp31","false","interacts with","Lsm2 (interacts with) Prp31"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Lsm7","false","interacts with","Lsm2 (interacts with) Lsm7"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Lsm1","false","interacts with","Lsm2 (interacts with) Lsm1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Bcs1","false","interacts with","Lsm2 (interacts with) Bcs1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Lsm3","false","interacts with","Lsm2 (interacts with) Lsm3"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Lsm8","false","interacts with","Lsm2 (interacts with) Lsm8"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Enp1","false","interacts with","Lsm2 (interacts with) Enp1"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Lsm4","false","interacts with","Lsm2 (interacts with) Lsm4"
"PPI","#66A61E",,"interacts with",,"Lsm2 (interacts with) Lsm6","false","interacts with","Lsm2 (interacts with) Lsm6"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Prp8","false","interacts with","Lsm2 (interacts with) Prp8"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Rpa43","false","interacts with","Lsm2 (interacts with) Rpa43"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Snu114","false","interacts with","Lsm2 (interacts with) Snu114"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Prp4","false","interacts with","Lsm2 (interacts with) Prp4"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Snu23","false","interacts with","Lsm2 (interacts with) Snu23"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Prp24","false","interacts with","Lsm2 (interacts with) Prp24"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Brr2","false","interacts with","Lsm2 (interacts with) Brr2"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Smd2","false","interacts with","Lsm2 (interacts with) Smd2"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Smb1","false","interacts with","Lsm2 (interacts with) Smb1"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Prp38","false","interacts with","Lsm2 (interacts with) Prp38"
"Overlap","#7570B3",,"interacts with",,"Lsm2 (interacts with) Prp3","false","interacts with","Lsm2 (interacts with) Prp3"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Brr2","false","interacts with","Msl1 (interacts with) Brr2"
"RNAmediated","#D95F02","U2 snRNP complex","interacts with","18","Msl1 (interacts with) Smb1","false","interacts with","Msl1 (interacts with) Smb1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Sec4","false","interacts with","Msl1 (interacts with) Sec4"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Yra1","false","interacts with","Msl1 (interacts with) Yra1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Utp22","false","interacts with","Msl1 (interacts with) Utp22"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Trm1","false","interacts with","Msl1 (interacts with) Trm1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Prp46","false","interacts with","Msl1 (interacts with) Prp46"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Imd4","false","interacts with","Msl1 (interacts with) Imd4"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Tma46","false","interacts with","Msl1 (interacts with) Tma46"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Sxm1","false","interacts with","Msl1 (interacts with) Sxm1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Rbg1","false","interacts with","Msl1 (interacts with) Rbg1"
"RNAmediated","#D95F02","U2 snRNP complex","interacts with","18","Msl1 (interacts with) Smd1","false","interacts with","Msl1 (interacts with) Smd1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Cef1","false","interacts with","Msl1 (interacts with) Cef1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Tif4632","false","interacts with","Msl1 (interacts with) Tif4632"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Cdc60","false","interacts with","Msl1 (interacts with) Cdc60"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Scp160","false","interacts with","Msl1 (interacts with) Scp160"
"RNAmediated","#D95F02","U2 snRNP complex","interacts with","18","Msl1 (interacts with) Prp21","false","interacts with","Msl1 (interacts with) Prp21"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Nop6","false","interacts with","Msl1 (interacts with) Nop6"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Xrn1","false","interacts with","Msl1 (interacts with) Xrn1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Hrb1","false","interacts with","Msl1 (interacts with) Hrb1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Rrp5","false","interacts with","Msl1 (interacts with) Rrp5"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Ubp3","false","interacts with","Msl1 (interacts with) Ubp3"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Mgm101","false","interacts with","Msl1 (interacts with) Mgm101"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Hmo1","false","interacts with","Msl1 (interacts with) Hmo1"
"RNAmediated","#D95F02","U2 snRNP complex","interacts with","18","Msl1 (interacts with) Rse1","false","interacts with","Msl1 (interacts with) Rse1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Sbp1","false","interacts with","Msl1 (interacts with) Sbp1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Hho1","false","interacts with","Msl1 (interacts with) Hho1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Bfr1","false","interacts with","Msl1 (interacts with) Bfr1"
"RNAmediated","#D95F02","U2 snRNP complex","interacts with","18","Msl1 (interacts with) Hsh155","false","interacts with","Msl1 (interacts with) Hsh155"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Imd3","false","interacts with","Msl1 (interacts with) Imd3"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Pab1","false","interacts with","Msl1 (interacts with) Pab1"
"PPI","#66A61E",,"interacts with",,"Msl1 (interacts with) Ade12","false","interacts with","Msl1 (interacts with) Ade12"
"PPI","#66A61E",,"interacts with",,"Msl1 (interacts with) Cdc14","false","interacts with","Msl1 (interacts with) Cdc14"
"PPI","#66A61E",,"interacts with",,"Msl1 (interacts with) Gcv2","false","interacts with","Msl1 (interacts with) Gcv2"
"PPI","#66A61E",,"interacts with",,"Msl1 (interacts with) Tdh1","false","interacts with","Msl1 (interacts with) Tdh1"
"PPI","#66A61E",,"interacts with",,"Msl1 (interacts with) Spt15","false","interacts with","Msl1 (interacts with) Spt15"
"PPI","#66A61E",,"interacts with",,"Msl1 (interacts with) Pno1","false","interacts with","Msl1 (interacts with) Pno1"
"PPI","#66A61E",,"interacts with",,"Msl1 (interacts with) Kri1","false","interacts with","Msl1 (interacts with) Kri1"
"PPI","#66A61E","U2 snRNP complex","interacts with","18","Msl1 (interacts with) Lea1","false","interacts with","Msl1 (interacts with) Lea1"
"Overlap","#7570B3",,"interacts with",,"Msl1 (interacts with) Prp19","false","interacts with","Msl1 (interacts with) Prp19"
"RNAmediated","#D95F02",,"interacts with",,"Snp1 (interacts with) Bmh2","false","interacts with","Snp1 (interacts with) Bmh2"
"RNAmediated","#D95F02",,"interacts with",,"Snp1 (interacts with) Pre3","false","interacts with","Snp1 (interacts with) Pre3"
"RNAmediated","#D95F02",,"interacts with",,"Snp1 (interacts with) Rse1","false","interacts with","Snp1 (interacts with) Rse1"
"RNAmediated","#D95F02",,"interacts with",,"Snp1 (interacts with) Bfr1","false","interacts with","Snp1 (interacts with) Bfr1"
"RNAmediated","#D95F02",,"interacts with",,"Snp1 (interacts with) Nop6","false","interacts with","Snp1 (interacts with) Nop6"
