ENSEMBL,GENENAME
YOR239W,ABP140
YER087W,AIM10
YNL048W,ALG11
YOR002W,ALG6
YNL219C,ALG9
YGL021W,ALK1
YNR019W,ARE2
YLR392C,ART10
YER101C,AST2
YLR211C,ATG38
YIL033C,BCY1
YNR056C,BIO5
YML042W,CAT2
YDL220C,CDC13
YGR157W,CHO2
YLR003C,CMS1
YNL225C,CNM67
YPL132W,COX11
YFL001W,DEG1
YDR411C,DFM1
YOR236W,DFR1
YNL136W,EAF7
YNL280C,ERG24
YNL168C,FMP41
YKR049C,FMP46
YOR271C,FSF1
YHR049W,FSH1
YBR021W,FUR4
YGR196C,FYV8
YER163C,GCG1
YJR013W,GPI14
YHR104W,GRE3
YJL110C,GZF3
YKR084C,HBS1
YGR187C,HGH1
YOR391C,HSP33
YHR067W,HTD2
YNL009W,IDP3
YOL065C,INP54
YPL054W,LEE1
YOR059C,LPL1
YOR084W,LPX1
YHR081W,LRP1
YDR439W,LRS4
YLR244C,MAP1
YLR274W,MCM5
YKL150W,MCR1
YGL080W,MPC1
YKR080W,MTD1
YMR004W,MVP1
YOL070C,NBA1
YOL042W,NGL1
YGL055W,OLE1
YJR051W,OSM1
YOR269W,PAC1
YPR002W,PDH1
YIL107C,PFK26
YOR386W,PHR1
YMR123W,PKR1
YBL064C,PRX1
YHR189W,PTH1
YOR286W,RDL2
YPL133C,RDS2
YOL066C,RIB2
YKL132C,RMA1
YPL123C,RNY1
YJR063W,RPA12
YCR072C,RSA4
YOR118W,RTC5
YHR207C,SET5
YOR195W,SLK19
YNR015W,SMM1
YKL079W,SMY1
YNL202W,SPS19
YGL184C,STR3
YKL027W,TCD2
YLR426W,TDA5
YJR019C,TES1
YGR024C,THG1
YHR117W,TOM71
YDR120C,TRM1
YLL039C,UBI4
YFR010W,UBP6
YNL229C,URE2
YPR152C,URN1
YLR132C,USB1
YIL091C,UTP25
YBR293W,VBA2
YGL104C,VPS73
YNL263C,YIF1
YJR111C,PXP2
YJR110W,YMR1
YHR090C,YNG2
YNL200C,NNR1
YHR105W,YPT35
YBR118W,TEF1
YBR118W,TEF2
YOR141C,ARP8
YKR009C,FOX2
YOR120W,GCY1
YDL078C,MDH3
YDR538W,PAD1
YBR222C,PCS60
YIL160C,POT1
YNL292W,PUS4
YDL031W,DBP10
YDR051C,DET1
YOL021C,DIS3
YML080W,DUS1
YDR153C,ENT5
YLR309C,IMH1
YFR034C,PHO4
YMR268C,PRP24
YOR216C,RUD3
YLR022C,SDO1
YKL130C,SHE2
YLR452C,SST2
YNL175C,NOP13
YPR052C,NHP6A
YNL301C,RPL18B
YNL301C,RPL18A
YER117W,RPL23A
YER117W,RPL23B
YIL018W,RPL2A
YIL018W,RPL2B
YDL191W,RPL35A
YDL191W,RPL35B
YDL136W,RPL35A
YDL136W,RPL35B
YLR185W,RPL37A
YDR500C,RPL37B
YIL148W,RPL40B
YIL148W,RPL40A
YKR094C,RPL40B
YKR094C,RPL40A
YNL162W,RPL42A
YNL162W,RPL42B
YHR141C,RPL42A
YHR141C,RPL42B
YBR048W,RPS11B
YBR048W,RPS11A
YDL083C,RPS16A
YDL083C,RPS16B
YDL061C,RPS29B
YDR385W,EFT1
YDR385W,EFT2
YHL001W,RPL14B
YDR471W,RPL27B
YLR367W,RPS22B
YER131W,RPS26B
YOR182C,RPS30A
YOR182C,RPS30B
YHR203C,RPS4A
YHR203C,RPS4B
YER102W,RPS8A
YER102W,RPS8B
YDR447C,RPS17B
YIL069C,RPS24A
YIL069C,RPS24B
YGR188C,BUB1
YDL156W,CMR1
YOR303W,CPA1
YNL245C,CWC25
YPL049C,DIG1
YDL178W,DLD2
YGL061C,DUO1
YPL101W,ELP4
YEL003W,GIM4
YOR288C,MPD1
YPL104W,MSD1
YMR228W,MTF1
YDR003W,RCR2
YGL208W,SIP2
YCR024C,SLM5
YBR044C,TCM62
YBR061C,TRM7
YBR058C,UBP14
YPL252C,YAH1
YGL135W,RPL1A
YGL135W,RPL1B
YBR039W,ATP3
YOR257W,CDC31
YBR109C,CMD1
YDR480W,DIG2
YMR124W,EPO1
YCR028C,FEN2
YDR174W,HMO1
YCL051W,LRE1
YML123C,PHO84
YIL021W,RPB3
YPL085W,SEC16
YFR031C,SMC2
YBR108W,AIM3
YMR092C,AIP1
YIL079C,AIR1
YDL175C,AIR2
YBR059C,AKL1
YPL195W,APL5
YGR068C,ART5
YDR101C,ARX1
YLR412W,BER1
YDR299W,BFR2
YNL166C,BNI5
YBL085W,BOI1
YMR014W,BUD22
YFL023W,BUD27
YML111W,BUL2
YDR423C,CAD1
YAL021C,CCR4
YDR168W,CDC37
YDL132W,CDC53
YLR330W,CHS5
YBR135W,CKS1
YFR014C,CMK1
YLR216C,CPR6
YLR380W,CSR1
YMR180C,CTL1
YKL090W,CUE2
YGL110C,CUE3
YOR042W,CUE5
YDR163W,CWC15
YDR482C,CWC21
YGR278W,CWC22
YJL005W,CYR1
YML113W,DAT1
YNR038W,DBP6
YKR024C,DBP7
YKL149C,DBR1
YNL118C,DCP2
YOR163W,DDP1
YDR440W,DOT1
YER088C,DOT6
YDR121W,DPB4
YIL103W,DPH1
YLL008W,DRS1
YDL219W,DTD1
YDR206W,EBS1
YMR128W,ECM16
YBR065C,ECM2
YBL101C,ECM21
YGR271C-A,EFG1
YMR212C,EFR3
YMR031C,EIS1
YPL086C,ELP3
YLR186W,EMG1
YGR145W,ENP2
YMR219W,ESC1
YDR365C,ESF1
YNR054C,ESF2
YDR021W,FAL1
YGR267C,FOL2
YNL135C,FPR1
YML074C,FPR3
YBL016W,FUS3
YHR089C,GAR1
YMR255W,GFD1
YCL036W,GFD2
YHR108W,GGA2
YDR517W,GRH1
YCL035C,GRX1
YDR513W,GRX2
YOR185C,GSP2
YDR454C,GUK1
YPR008W,HAA1
YJL165C,HAL5
YDL223C,HBT1
YJL033W,HCA4
YLR192C,HCR1
YDR266C,HEL2
YPL116W,HOS3
YOR267C,HRK1
YMR288W,HSH155
YOL012C,HTZ1
YDR343C,HXT6
YIR037W,HYR1
YLR384C,IKI3
YNL075W,IMP4
YIL002C,INP51
YKR019C,IRS4
YPR106W,ISR1
YBR017C,KAP104
YHR158C,KEL1
YLR096W,KIN2
YGL216W,KIP3
YNL308C,KRI1
YLR260W,LCB5
YPL055C,LGE1
YFR024C-A,LSB3
YHR121W,LSM12
YLR438C-A,LSM3
YGR169C-A,LSO2
YER142C,MAG1
YLR427W,MAG2
YNL307C,MCK1
YOL076W,MDM20
YHR015W,MIP6
YER068W,MOT2
YMR070W,MOT3
YKL059C,MPE1
YJR002W,MPP10
YKL009W,MRT4
YOR188W,MSB1
YLR116W,MSL5
YNR049C,MSO1
YJL123C,MTC1
YBR255W,MTC4
YKL186C,MTR2
YNL124W,NAF1
YNL240C,NAR1
YDL040C,NAT1
YMR285C,NGL2
YPL211W,NIP7
YLR328W,NMA1
YHR077C,NMD2
YOR056C,NOB1
YOL041C,NOP12
YDL148C,NOP14
YER002W,NOP16
YPL146C,NOP53
YDL213C,NOP6
YIL038C,NOT3
YDL167C,NRP1
YER126C,NSA2
YML103C,NUP188
YHR073W,OSH3
YHL013C,OTU2
YDR348C,PAL1
YDR251W,PAM1
YKR002W,PAP1
YDL173W,PAR32
YNL015W,PBI2
YDL053C,PBP4
YNL317W,PFS2
YOL100W,PKH2
YBL041W,PRE7
YDL030W,PRP9
YGR170W,PSD2
YJR059W,PTK2
YOR243C,PUS7
YOR265W,RBL2
YDL189W,RBS1
YOR285W,RDL1
YOR217W,RFC1
YPR115W,RGC1
YOR119C,RIO1
YNL207W,RIO2
YGR044C,RME1
YLR371W,ROM2
YHR088W,RPF1
YIL119C,RPI1
YPR043W,RPL43B
YPR043W,RPL43A
YFL036W,RPO41
YDR450W,RPS18B
YDR450W,RPS18A
YGR118W,RPS23B
YGR118W,RPS23A
YLR167W,RPS31
YDR333C,RQC1
YMR131C,RRB1
YIL153W,RRD1
YKL082C,RRP14
YHR065C,RRP3
YHR069C,RRP4
YDR280W,RRP45
YOR001W,RRP6
YDR083W,RRP8
YOR294W,RRS1
YLR221C,RSA3
YGL252C,RTG2
YDR388W,RVS167
YER047C,SAP1
YCR008W,SAT4
YKL117W,SBA1
YDR351W,SBE2
YGR245C,SDA1
YER008C,SEC3
YHR119W,SET1
YJL168C,SET2
YOR007C,SGT2
YPR161C,SGV1
YBR130C,SHE3
YMR140W,SIP5
YPR189W,SKI3
YDR088C,SLU7
YDR510W,SMT3
YBR172C,SMY2
YDR477W,SNF1
YLR025W,SNF7
YGR013W,SNU71
YOR357C,SNX3
YLL021W,SPA2
YNL224C,SQS1
YNL189W,SRP1
YGL022W,STT3
YNL244C,SUI1
YPL032C,SVL3
YER111C,SWI4
YPL105C,SYH1
YCR030C,SYP1
YER063W,THO1
YPR045C,THP3
YJL138C,TIF2
YJL138C,TIF1
YPR041W,TIF5
YDR117C,TMA64
YLR262C-A,TMA7
YNL088W,TOP2
YKL203C,TOR2
YNL079C,TPM1
YNL299W,TRF5
YJL087C,TRL1
YPL030W,TRM44
YLR043C,TRX1
YDL060W,TSR1
YLR435W,TSR2
YOR006C,TSR3
YPL207W,TYW1
YDR177W,UBC1
YML093W,UTP14
YOR004W,UTP23
YKR060W,UTP30
YDR449C,UTP6
YER082C,UTP7
YDR119W,VBA4
YLR410W,VIP1
YHR039C-A,VMA10
YDR049W,VMS1
YKL041W,VPS24
YNR006W,VPS27
YOR359W,VTS1
YNL197C,WHI3
YDL224C,WHI4
YFL010C,WWM1
YML007W,YAP1
YNL154C,YCK2
YNL160W,YGP1
YKL214C,YRA2
YDR002W,YRB1
YIR026C,YVH1
YMR273C,ZDS1
YHR146W,CRP1
YPL220W,RPL1A
YPL220W,RPL1B
YMR143W,RPS16A
YMR143W,RPS16B
YOR276W,CAF20
YKL054C,DEF1
YBR089C-A,NHP6B
YLR287C-A,RPS30A
YLR287C-A,RPS30B
YGR034W,RPL26B
YJL191W,RPS14B
YLR276C,DBP9
YLR401C,DUS3
YHR216W,IMD2
YJR091C,JSN1
YHR082C,KSP1
YDR060W,MAK21
YOR354C,MSC6
YOR206W,NOC2
YPL043W,NOP4
YJL010C,NOP9
YOL115W,PAP2
YNL262W,POL2
YDR505C,PSP1
YPR042C,PUF2
YDR496C,PUF6
YPL212C,PUS1
YGL107C,RMD9
YGR279C,SCW4
YLR430W,SEN1
YLR398C,SKI2
YGR271W,SLH1
YLL011W,SOF1
YHL007C,STE20
YOR091W,TMA46
YGR072W,UPF3
YKL014C,URB1
YPL119C,DBP1
YHL010C,ETP1
YDR164C,SEC1
YGR178C,PBP1
YCR077C,PAT1
YPR129W,SCD6
YMR120C,ADE17
YPR183W,DPM1
YML048W,GSF2
YMR296C,LCB1
YKL085W,MDH1
YLR017W,MEU1
YJR077C,MIR1
YPL050C,MNN9
YBR035C,PDX3
YPR113W,PIS1
YOR362C,PRE10
YIL075C,RPN2
YDL130W,RPP1B
YNL007C,SIS1
YER148W,SPT15
YOR027W,STI1
YOR251C,TUM1
YKL067W,YNK1
YMR290C,HAS1
YDL051W,LHP1
YGR264C,MES1
YJR144W,MGM101
YBL030C,PET9
YMR205C,PFK2
YCR028C-A,RIM1
YER125W,RSP5
YMR039C,SUB1
YLR150W,STM1
YGL122C,NAB2
YHR086W,NAM8
YMR229C,RRP5
YBL032W,HEK2
YJL080C,SCP160
YDR432W,NPL3
YIR001C,SGN1
YNL255C,GIS2
YAR007C,RFA1
YOR204W,DED1
YOL123W,HRP1
YHR047C,AAP1
YLR027C,AAT2
YLR304C,ACO1
YLR153C,ACS2
YNL220W,ADE12
YLR359W,ADE13
YLR028C,ADE16
YOR128C,ADE2
YGR204W,ADE3
YMR300C,ADE4
YGL234W,ADE5,7
YGR061C,ADE6
YMR303C,ADH2
YBR145W,ADH5
YMR318C,ADH6
YHL021C,AIM17
YPR004C,AIM45
YER080W,AIM9
YER073W,ALD5
YML086C,ALO1
YML035C,AMD1
YGR001C,EFM5
YKL157W,APE2
YBR286W,APE3
YML022W,APT1
YLR370C,ARC18
YKL013C,ARC19
YNR035C,ARC35
YDL137W,ARF2
YGL157W,ARI1
YBR164C,ARL1
YDR127W,ARO1
YDR035W,ARO3
YBR249C,ARO4
YDL029W,ARP2
YPR145W,ASN1
YGR124W,ASN2
YBL099W,ATP1
YHR208W,BAT1
YJR148W,BAT2
YGR282C,BGL2
YDR099W,BMH2
YJL060W,BNA3
YDL074C,BRE1
YER172C,BRR2
YKL007W,CAP1
YPL111W,CAR1
YLR438W,CAR2
YMR038C,CCS1
YIL142W,CCT2
YJL014W,CCT3
YJR064W,CCT5
YJL111W,CCT7
YCR002C,CDC10
YHR107C,CDC12
YBR160W,CDC28
YCR093W,CDC39
YCL064C,CHA1
YGL206C,CHC1
YLL050C,COF1
YJR109C,CPA2
YGR218W,CRM1
YAL012W,CYS3
YML070W,DAK1
YEL071W,DLD3
YGR093W,DRN1
YFR044C,DUG1
YBR208C,DUR1,2
YBR078W,ECM33
YPL037C,EGD1
YHR193C,EGD2
YJR088C,EMC2
YGL200C,EMP24
YNL313C,EMW1
YMR049C,ERB1
YGR175C,ERG1
YPL028W,ERG10
YML126C,ERG13
YGL001C,ERG26
YLR100W,ERG27
YML008C,ERG6
YPL096C-A,ERI1
YAR002C-A,ERP1
YML012W,ERV25
YOR051C,ETT1
YLR300W,EXG1
YOR317W,FAA1
YMR246W,FAA4
YLR060W,FRS1
YPL262W,FUM1
YHR128W,FUR1
YMR307W,GAS1
YFR009W,GCN20
YOR375C,GDH1
YDL215C,GDH2
YER136W,GDI1
YEL022W,GEA2
YDL100C,GET3
YER133W,GLC7
YPR035W,GLN1
YDL171C,GLT1
YEL046C,GLY1
YDL022W,GPD1
YPR160W,GPH1
YER062C,GPP2
YOL151W,GRE2
YLR293C,GSP1
YJR069C,HAM1
YNL014W,HEF3
YDR044W,HEM13
YER055C,HIS1
YCL030C,HIS4
YBR248C,HIS7
YER057C,HMF1
YDL125C,HNT1
YDR158W,HOM2
YJR139C,HOM6
YDR138W,HPR1
YDR399W,HPT1
YLR301W,HRI1
YPL240C,HSP82
YDR345C,HXT3
YNL037C,IDH1
YOR136W,IDH2
YDL066W,IDP1
YER086W,ILV1
YMR108W,ILV2
YJR016C,ILV3
YLR355C,ILV5
YCL009C,ILV6
YER019W,ISC1
YPL145C,KES1
YIL125W,KGD1
YNL132W,KRE33
YKL110C,KTI12
YOR099W,KTR1
YNL071W,LAT1
YNL104C,LEU4
YOR108W,LEU9
YJR070C,LIA1
YFL018C,LPD1
YOR142W,LSC1
YIL094C,LYS12
YDL182W,LYS20
YDL131W,LYS21
YKL029C,MAE1
YEL032W,MCM3
YGL201C,MCM6
YLR106C,MDN1
YML062C,MFT1
YBR084W,MIS1
YNL085W,MKT1
YIL051C,MMF1
YDR245W,MNN10
YJL183W,MNN11
YPR118W,MRI1
YDR347W,MRP1
YOR370C,MRS6
YBR119W,MUD1
YNR043W,MVD1
YOR326W,MYO2
YMR109W,MYO5
YKR048C,NAP1
YHR042W,NCP1
YOR209C,NPT1
YER009W,NTF2
YER105C,NUP157
YDR192C,NUP42
YJL002C,OST1
YDR071C,PAA1
YEL058W,PCM1
YER178W,PDA1
YBR221C,PDB1
YLR134W,PDC5
YGR087C,PDC6
YCL043C,PDI1
YDR406W,PDR15
YNL231C,PDR16
YML125C,PGA3
YKL127W,PGM1
YMR105C,PGM2
YER003C,PMI40
YML069W,POB3
YBR088C,POL30
YNL055C,POR1
YER012W,PRE1
YPR103W,PRE2
YMR314W,PRE5
YOL038W,PRE6
YGR135W,PRE9
YOR323C,PRO2
YER023W,PRO3
YLL036C,PRP19
YML046W,PRP39
YPR178W,PRP4
YKL012W,PRP40
YER099C,PRS2
YHL011C,PRS3
YOL061W,PRS5
YMR308C,PSE1
YDR032C,PST2
YER089C,PTC2
YBL056W,PTC3
YER094C,PUP3
YGL062W,PYC1
YBR218C,PYC2
YOR347C,PYK2
YHR074W,QNS1
YDL103C,QRI1
YGL246C,RAI1
YNL098C,RAS2
YGR173W,RBG2
YOL094C,RFC4
YBR052C,RFS1
YPR165W,RHO1
YIL118W,RHO3
YNL180C,RHO5
YLR009W,RLP24
YMR235C,RNA1
YMR061W,RNA14
YER070W,RNR1
YJL026W,RNR2
YIL066C,RNR3
YGR180C,RNR4
YPR010C,RPA135
YOR341W,RPA190
YNL113W,RPC19
YPR110C,RPC40
YJL177W,RPL17B
YPL079W,RPL21B
YFL034C-A,RPL22B
YIL052C,RPL34B
YPL249C-A,RPL36B
YGL076C,RPL7A
YNL067W,RPL9B
YHR200W,RPN10
YFR004W,RPN11
YER021W,RPN3
YDL147W,RPN5
YPR108W,RPN7
YOR261C,RPN8
YDR427W,RPN9
YOL039W,RPP2A
YDR382W,RPP2B
YOL121C,RPS19A
YKR057W,RPS21A
YPL081W,RPS9A
YKL145W,RPT1
YDL007W,RPT2
YDR394W,RPT3
YOR259C,RPT4
YGL048C,RPT6
YOL142W,RRP40
YFR037C,RSC8
YML049C,RSE1
YDR190C,RVB1
YPL235W,RVB2
YKL212W,SAC1
YDR502C,SAM2
YPL273W,SAM4
YGL011C,SCL1
YER120W,SCS2
YLR208W,SEC13
YBR080C,SEC18
YPR181C,SEC23
YIL109C,SEC24
YIL076W,SEC28
YFL005W,SEC4
YDR170C,SEC7
YLR292C,SEC72
YGL100W,SEH1
YOR184W,SER1
YKR043C,SHB17
YLR058C,SHM2
YDL013W,SLX5
YLR275W,SMD2
YFL017W-A,SMX2
YDR011W,SNQ2
YKL173W,SNU114
YEL026W,SNU13
YJR159W,SOR1
YPR069C,SPE3
YEL031W,SPF1
YGL207W,SPT16
YNL138W,SRV2
YBL075C,SSA3
YER103W,SSA4
YJR045C,SSC1
YBR169C,SSE2
YBR283C,SSH1
YLR250W,SSP120
YHR064C,SSZ1
YGL162W,SUT1
YDR395W,SXM1
YLR354C,TAL1
YML072C,TCB3
YHR167W,THP2
YCR053W,THR4
YKR059W,TIF2
YKR059W,TIF1
YPR016C,TIF6
YMR203W,TOM40
YNL121C,TOM70
YER049W,TPA1
YBR126C,TPS1
YMR261C,TPS3
YER090W,TRP2
YML085C,TUB1
YML124C,TUB3
YOR187W,TUF1
YML106W,URA5
YLR222C,UTP13
YDR398W,UTP5
YOR332W,VMA4
YLR447C,VMA6
YEL051W,VMA8
YOR270C,VPH1
YOR089C,VPS21
YOL097C,WRS1
YOR230W,WTM1
YCR004C,YCP4
YDL027C,MRX9
YGR234W,YHB1
YKL196C,YKT6
YMR144W,FDO1
YFL038C,YPT1
YGL210W,YPT32
YKR014C,YPT52
YGR211W,ZPR1
YBR046C,ZTA1
YNL241C,ZWF1
YMR083W,ADH3
YBR011C,IPP1
YBL087C,RPL23A
YBL087C,RPL23B
YLR406C,RPL31B
YJR009C,TDH2
YKL006W,RPL14A
YGR148C,RPL24B
YLR344W,RPL26A
YGR214W,RPS0A
YBR031W,RPL4A
YCR031C,RPS14A
YLR147C,SMD3
YJR121W,ATP2
YIL041W,GVP36
YBR072W,HSP26
YLR347C,KAP95
YJL034W,KAR2
YJL124C,LSM1
YDR378C,LSM6
YPL154C,PEP4
YML032C,RAD52
YNL312W,RFA2
YJL173C,RFA3
YHR027C,RPN1
YOR117W,RPT5
YLR180W,SAM1
YDR238C,SEC26
YDL195W,SEC31
YFL037W,TUB2
YBL039C,URA7
YBR127C,VMA2
YEL002C,WBP1
YCR088W,ABP1
YNR016C,ACC1
YFL039C,ACT1
YDR226W,ADK1
YJR105W,ADO1
YDR214W,AHA1
YLR109W,AHP1
YOR374W,ALD4
YPL061W,ALD6
YCL050C,APA1
YER036C,ARB1
YGL105W,ARC1
YBR234C,ARC40
YDL192W,ARF1
YGL148W,ARO2
YGL202W,ARO8
YJR065C,ARP3
YER177W,BMH1
YOL077C,BRX1
YPL048W,CAM1
YPL178W,CBC2
YIL043C,CBR1
YDL143W,CCT4
YLR314C,CDC3
YOL139C,CDC33
YPL160W,CDC60
YDR301W,CFT1
YML036W,CGI121
YHR052W,CIC1
YDL145C,COP1
YKL139W,CTK1
YGL078C,DBP3
YOR046C,DBP5
YMR173W,DDR48
YHR019C,DED81
YPL266W,DIM1
YLL018C,DPS1
YEL015W,EDC3
YAL003W,EFB1
YDR516C,EMI2
YBR247C,ENP1
YJL167W,ERG20
YKL182W,FAS1
YPL231W,FAS2
YKL060C,FBA1
YLR342W,FKS1
YEL047C,FRD1
YFL022C,FRS2
YER025W,GCD11
YDR211W,GCD6
YKL104C,GFA1
YCL040W,GLK1
YER122C,GLO3
YPL091W,GLR1
YHR183W,GND1
YOL059W,GPD2
YKL152C,GPM1
YIL053W,GPP1
YMR217W,GUA1
YBR009C,HHF2
YBR009C,HHF1
YPL204W,HRR25
YLL026W,HSP104
YFL014W,HSP12
YLR259C,HSP60
YDR225W,HTA1
YDR224C,HTB1
YFR053C,HXK1
YGL253W,HXK2
YEL034W,HYP2
YBL076C,ILS1
YGL009C,LEU1
YBL026W,LSM2
YNL147W,LSM7
YJR022W,LSM8
YBL091C,MAP2
YPR019W,MCM4
YER091C,MET6
YBL024W,NCL1
YHR170W,NMD3
YPL093W,NOG1
YNR053C,NOG2
YDL014W,NOP1
YNL061W,NOP2
YBR025C,OLA1
YHR179W,OYE2
YLR044C,PDC1
YOR153W,PDR5
YGR240C,PFK1
YBR196C,PGI1
YGR086C,PIL1
YGL037C,PNC1
YOR145C,PNO1
YEL055C,POL5
YER013W,PRP22
YDR235W,PRP42
YKL181W,PRS1
YOR361C,PRT1
YLR196W,PWP1
YEL037C,RAD23
YOR207C,RET1
YLR059C,REX2
YLL034C,RIX7
YDR091C,RLI1
YKR081C,RPF2
YLR075W,RPL10
YPR102C,RPL11A
YEL054C,RPL12B
YEL054C,RPL12A
YMR142C,RPL13B
YLR029C,RPL15A
YKL180W,RPL17A
YBR084C-A,RPL19B
YBR084C-A,RPL19A
YBR191W,RPL21A
YLR061W,RPL22A
YOL127W,RPL25
YGL030W,RPL30
YBL092W,RPL32
YLR325C,RPL38
YPL198W,RPL7B
YGL147C,RPL9A
YDL140C,RPO21
YLR340W,RPP0
YMR230W,RPS10B
YOR369C,RPS12
YDR064W,RPS13
YJL136C,RPS21B
YLR333C,RPS25B
YKL156W,RPS27A
YLR264W,RPS28B
YPL090C,RPS6A
YPL090C,RPS6B
YBR189W,RPS9B
YPR137W,RRP9
YDR233C,RTN1
YCR009C,RVS161
YDR129C,SAC6
YPL218W,SAR1
YHR205W,SCH9
YMR079W,SEC14
YNL287W,SEC21
YFL045C,SEC53
YDR023W,SES1
YER029C,SMB1
YDR240C,SNU56
YJR104C,SOD1
YGR116W,SPT6
YPR088C,SRP54
YPL243W,SRP68
YPL210C,SRP72
YAL005C,SSA1
YLL024C,SSA2
YDL229W,SSB1
YNL209W,SSB2
YPL106C,SSE1
YJR007W,SUI2
YPL237W,SUI3
YBR143C,SUP45
YDR212W,TCP1
YJL052W,TDH1
YKL081W,TEF4
YHR025W,THR1
YIL078W,THS1
YMR260C,TIF11
YMR146C,TIF34
YDR429C,TIF35
YPR074C,TKL1
YKL056C,TMA19
YDR050C,TPI1
YDR074W,TPS2
YOL102C,TPT1
YGL026C,TRP5
YDR353W,TRR1
YGR209C,TRX2
YML100W,TSL1
YKL210W,UBA1
YKL035W,UGP1
YJL130C,URA2
YJL109C,UTP10
YMR093W,UTP15
YDR324C,UTP4
YGR128C,UTP8
YHR196W,UTP9
YGR094W,VAS1
YPR036W,VMA13
YKL080W,VMA5
YKR001C,VPS1
YDR135C,YCF1
YNL064C,YDJ1
YLR298C,YHC1
YKL126W,YPK1
YER031C,YPT31
YOL086C,ADH1
YMR116C,ASC1
YAL038W,CDC19
YGR254W,ENO1
YHR174W,ENO2
YIL133C,RPL16A
YNL069C,RPL16B
YOL120C,RPL18B
YOL120C,RPL18A
YGL103W,RPL28
YFR031C-A,RPL2A
YFR031C-A,RPL2B
YOR063W,RPL3
YDL075W,RPL31A
YPL131W,RPL5
YDR025W,RPS11B
YDR025W,RPS11A
YLR441C,RPS1A
YML063W,RPS1B
YLR388W,RPS29A
YER043C,SAH1
YGR192C,TDH3
YML028W,TSA1
YOR133W,EFT1
YOR133W,EFT2
YOR298C-A,MBF1
YGL031C,RPL24A
YHR010W,RPL27A
YLR048W,RPS0B
YOL040C,RPS15
YGL123W,RPS2
YJL190C,RPS22A
YGL189C,RPS26A
YJR145C,RPS4A
YJR145C,RPS4B
YOR096W,RPS7A
YNL096C,RPS7B
YBL072C,RPS8A
YBL072C,RPS8B
YDL084W,SUB2
YDR381W,YRA1
YGR285C,ZUO1
YCR012W,PGK1
YPL143W,RPL33A
YOR234C,RPL33B
YDR012W,RPL4B
YML073C,RPL6A
YLR448W,RPL6B
YLL045C,RPL8B
YML024W,RPS17A
YER074W,RPS24A
YER074W,RPS24B
YNL178W,RPS3
YJR123W,RPS5
YPR080W,TEF1
YPR080W,TEF2
YER155C,BEM2
YPL217C,BMS1
YNR051C,BRE5
YLR175W,CBF5
YMR012W,CLU1
YGR155W,CYS4
YKL204W,EAP1
YKL172W,EBP2
YER176W,ECM32
YCL011C,GBP2
YOR168W,GLN4
YGL245W,GUS1
YNL004W,HRB1
YPR033C,HTS1
YLR432W,IMD3
YML056C,IMD4
YDR037W,KRS1
YGL099W,LSG1
YPL169C,MEX67
YKR095W,MLP1
YGL178W,MPT5
YPR112C,MRD1
YPL184C,MRN1
YDR194C,MSS116
YJL050W,MTR4
YKL074C,MUD2
YPL190C,NAB3
YMR080C,NAM7
YPL126W,NAN1
YPL226W,NEW1
YMR309C,NIP1
YGR103W,NOP7
YNL251C,NRD1
YGR159C,NSR1
YER006W,NUG1
YBR233W,PBP2
YBL051C,PIN4
YHR165C,PRP8
YGL014W,PUF4
YCR057C,PWP2
YOR048C,RAT1
YOR151C,RPB2
YBR079C,RPG1
YHL015W,RPS20
YPL012W,RRP12
YDR515W,SLF1
YML010W,SPT5
YMR125W,STO1
YDR172W,SUP35
YPL009C,RQC2
YNL253W,TEX1
YNL139C,THO2
YGL049C,TIF4632
YGR185C,TYS1
YBL004W,UTP20
YNL002C,RLP7
YOR198C,BFR1
YDR155C,CPR1
YBR212W,NGR1
YLL013C,PUF3
YDR293C,SSD1
YDL185W,VMA1
YER165W,PAB1
YHL033C,RPL8A
YJL008C,CCT8
YDL126C,CDC48
YAL035W,FUN12
YGL195W,GCN1
YMR186W,HSC82
YER110C,KAP123
YER112W,LSM4
YER146W,LSM5
YPL004C,LSP1
YGL008C,PMA1
YDL055C,PSA1
YGL137W,SEC27
YLR249W,YEF3
YDL160C,DHH1
YLR197W,NOP56
YGL120C,PRP43
YML017W,PSP2
YGR162W,TIF4631
YER151C,UBP3
YGR250C,RIE1
YML117W,NAB6
YNL016W,PUB1
YCL037C,SRO9
YPR163C,TIF3
YGL173C,XRN1
YHL034C,SBP1
YNL112W,DBP2
YOR310C,NOP58
