"Protein.IDs","my_label","Gene.names","difference_RNase_WT","log10.pvalue_RNase_WT","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","value_count_WT"
"YJL140W","RPB4","RPB4",8.06332767282784,6.61852856590886,30.0730371247173,29.2779936549098,30.0002125119083,29.8393305299882,30.0730371247173,29.2779936549098,30.0002125119083,29.8393305299882,4,NA,NA,NA,22.0012707359542,21.3497676788116,21.3566580799558,22.2295666354906,22.0012707359542,1
"YOR210W","RPB10","RPB10",5.1122041554775,4.71756334487303,26.6998852453732,25.8669340202543,26.8256587399257,26.8682065083267,26.6998852453732,25.8669340202543,26.8256587399257,26.8682065083267,4,NA,NA,NA,NA,21.7508660690352,21.7363410100334,21.792853855919,20.5318069569824,0
"YGR186W","TFG1","TFG1",4.54579563193019,4.45103242842362,25.797462646095,25.1099246829234,26.2393795765868,25.9886505390096,25.797462646095,25.1099246829234,26.2393795765868,25.9886505390096,4,NA,NA,NA,NA,21.5825776836276,21.259546573213,21.7431677547374,20.3669429053162,0
"YDR404C","RPB7","RPB7",6.40484228831134,4.31015152410218,27.9398291006272,27.2453585947679,28.2188192125788,28.2258217057687,27.9398291006272,27.2453585947679,28.2188192125788,28.2258217057687,4,NA,NA,NA,NA,22.3130424939693,21.2348695485644,21.960640763227,20.5019066547366,0
"YOL005C","RPB11","RPB11",7.82621537403513,4.30446298999558,29.4135092369475,28.7883364445003,29.0661489057053,29.543755172202,29.4135092369475,28.7883364445003,29.0661489057053,29.543755172202,4,NA,NA,NA,NA,21.9136776417474,21.4612394584823,21.9100963282503,20.2218748347345,0
"YOR151C","RPB2","RPB2",9.85627831867733,4.11319308245282,32.3885646099894,31.6463292432325,32.4632180732739,32.4880985729182,32.3885646099894,31.6463292432325,32.4632180732739,32.4880985729182,4,NA,22.4207004221769,21.551263282938,23.8531953172153,21.7359382023744,22.4207004221769,21.551263282938,23.8531953172153,3
"YIL021W","RPB3","RPB3",7.87415768669757,4.06066584981651,29.2014199213225,28.6145631530059,29.2960315697513,29.347500431318,29.2014199213225,28.6145631530059,29.2960315697513,29.347500431318,4,NA,NA,NA,NA,21.510230706316,21.2113123693425,22.1601324240491,20.0812088288997,0
"YPR187W","RPO26","RPO26",5.37516444035105,3.76100408135369,26.859465023053,26.2165638168044,27.2216795982983,26.8095581547114,26.859465023053,26.2165638168044,27.2216795982983,26.8095581547114,4,NA,NA,NA,NA,21.260367429924,22.0085699480809,22.0488146491833,20.2888568042747,0
"YHR143W-A","RPC10","RPC10",5.34631426363805,3.62632170971581,28.2886806608299,27.5385289138344,28.5553769170506,28.2172944334611,28.2886806608299,27.5385289138344,28.5553769170506,28.2172944334611,4,NA,23.7508279994418,NA,23.2601178443339,22.4193578148979,23.7508279994418,21.7843202119502,23.2601178443339,2
"YDL140C-TAP;YDL140C","RPO21-TAP","RPO21-TAP",9.65490124239814,3.59649883167211,33.7115956337662,32.810213455755,33.3373748382604,33.4947648415409,33.7115956337662,32.810213455755,33.3373748382604,33.4947648415409,4,22.7703186876573,23.4576373809918,22.9975716261636,25.5088161049173,22.7703186876573,23.4576373809918,22.9975716261636,25.5088161049173,4
"YGR005C","TFG2","TFG2",3.57244890983948,3.5724053491597,25.1265617503344,24.5854311346503,25.5311244118705,25.2349840320098,25.1265617503344,24.5854311346503,25.5311244118705,25.2349840320098,4,NA,NA,NA,NA,21.5567781153896,21.847293208836,22.1557036143108,20.6285307509708,0
"YBR154C","RPB5","RPB5",7.64147184200029,3.25459136111189,30.8322089952597,29.983593129807,30.6037286856233,30.6069081801132,30.8322089952597,29.983593129807,30.6037286856233,30.6069081801132,4,NA,23.129669778649,NA,24.4686782296649,21.696220493103,23.129669778649,22.1659831213852,24.4686782296649,2
"YOR224C","RPB8","RPB8",6.05284999040913,2.98520190510833,29.3955424375913,28.6759987993121,29.6919225996006,29.1511969360526,29.3955424375913,28.6759987993121,29.6919225996006,29.1511969360526,4,NA,24.3655962439878,NA,24.0896631878474,21.9531976936171,24.3655962439878,22.2948036854679,24.0896631878474,2
"YDR064W","RPS13","RPS13",1.07453017828376,2.84447476863018,28.9760993010629,28.7658499864682,28.9982228840812,29.4571872512893,28.9760993010629,28.7658499864682,28.9982228840812,29.4571872512893,4,27.9432431027051,28.2358514340826,27.9494348167168,27.7707093562621,27.9432431027051,28.2358514340826,27.9494348167168,27.7707093562621,4
"YCR093W","CDC39","CDC39",1.87291973413382,2.62381893439966,23.5520376827281,22.8967987526963,24.2627004915414,23.5895514882224,23.5520376827281,22.8967987526963,24.2627004915414,23.5895514882224,4,NA,NA,NA,22.3223462960754,21.575763174629,21.1714063547338,21.7398936532147,22.3223462960754,1
"YNL132W","KRE33","KRE33",1.17570800259564,2.36008085190174,23.6549086895753,22.9796826648826,23.5574235006922,23.3406879137742,23.6549086895753,22.9796826648826,23.5574235006922,23.3406879137742,4,NA,22.6830537143734,NA,22.4103074541143,21.8505660117601,22.6830537143734,21.8859435782939,22.4103074541143,2
"YML010W","SPT5","SPT5",4.73805453840631,2.33635260711777,27.7149597403973,27.0852725889917,28.1443324332263,28.0271238315232,27.7149597403973,27.0852725889917,28.1443324332263,28.0271238315232,4,NA,24.1194154787637,21.9762774241762,24.3699945047133,21.55378303286,24.1194154787637,21.9762774241762,24.3699945047133,3
"YDR170C","SEC7","SEC7",1.34522138752843,2.29836039935637,23.7483730441571,23.0809905378153,23.0670706054154,24.0195405072242,23.7483730441571,23.0809905378153,23.0670706054154,24.0195405072242,4,NA,22.5675782822628,NA,21.9951750506211,21.8888779546689,22.5675782822628,22.0834578569455,21.9951750506211,2
"YPL129W","TAF14","TAF14",1.21285134869814,2.02764852062354,23.4772898804546,22.967034125787,23.3858760892644,23.2729850938029,23.4772898804546,22.967034125787,23.3858760892644,23.2729850938029,4,NA,22.6830965611865,NA,22.1815296082549,21.5560934378221,22.6830965611865,21.8310601872527,22.1815296082549,2
"YMR049C","ERB1","ERB1",1.3962618202683,2.01138926853259,22.8841817006673,21.8759023033453,22.8618895938305,22.9633166321885,22.8841817006673,21.8759023033453,22.8618895938305,22.9633166321885,4,NA,NA,NA,21.0092217549743,20.7703368239143,21.2019719033306,22.0187124667391,21.0092217549743,1
"YNL030W;YBR009C","HHF2","HHF2",1.27416505703057,1.84760644626995,28.2177104421585,27.8373165790254,27.2477143116175,28.2662887861842,28.2177104421585,27.8373165790254,27.2477143116175,28.2662887861842,4,26.6936515728918,26.8690306700406,27.1033958720086,25.8062917759222,26.6936515728918,26.8690306700406,27.1033958720086,25.8062917759222,4
"YDR238C","SEC26","SEC26",2.67641914659135,1.81786872071246,24.7039821240727,24.5068809000116,25.067144480122,24.8254161274571,24.7039821240727,24.5068809000116,25.067144480122,24.8254161274571,4,NA,NA,NA,23.7506235793152,21.6060242587721,21.2833172224006,21.7577819848101,23.7506235793152,1
"YLR276C","DBP9","DBP9",1.73365746334307,1.76186959032544,23.6617737493646,22.120254333191,23.3539361434918,22.6564807286398,23.6617737493646,22.120254333191,23.3539361434918,22.6564807286398,4,NA,NA,NA,NA,21.3964774657201,21.5599621301368,21.8499620549365,20.0514134505215,0
"YFL023W","BUD27","BUD27",1.93072394632873,1.74956012741107,23.7891515247083,23.2421995265548,24.6459240024253,23.5086952306312,23.7891515247083,23.2421995265548,24.6459240024253,23.5086952306312,4,NA,NA,NA,23.0555988695633,20.8322719378924,21.4867041787568,22.0884995127922,23.0555988695633,1
"YPL131W","RPL5","RPL5",1.19665670194478,1.74609316882705,29.0498608023512,28.7621154661241,29.9151322665475,29.6158087386017,29.0498608023512,28.7621154661241,29.9151322665475,29.6158087386017,4,28.0234270488847,28.1101338348373,28.1729797694755,28.2497498126478,28.0234270488847,28.1101338348373,28.1729797694755,28.2497498126478,4
"YNL002C","RLP7","RLP7",1.35010691681361,1.6573215882797,23.509541138038,23.051820964279,24.2480039803347,23.8038063429666,23.509541138038,23.051820964279,24.2480039803347,23.8038063429666,4,NA,22.9026062291545,NA,22.7926505111991,21.4153606111105,22.9026062291545,22.1021274068999,22.7926505111991,2
"YJL076W","NET1","NET1",1.35148269647591,1.61704399123581,23.2844683066236,22.8935437315455,NA,22.9837235861579,23.2844683066236,22.8935437315455,21.8457424504356,22.9837235861579,3,NA,NA,NA,NA,20.9995741461918,21.677090821373,22.1757378378722,20.7491444834219,0
"YNL085W","MKT1","MKT1",1.59635514967265,1.60440274826718,24.1525949363156,23.5793435624504,24.6303426782279,24.4403141235686,24.1525949363156,23.5793435624504,24.6303426782279,24.4403141235686,4,NA,23.6746526248738,NA,22.8690824587674,21.713446752183,23.6746526248738,22.1599928660477,22.8690824587674,2
"YGL137W","SEC27","SEC27",1.32037023151093,1.60293387443484,23.4860346332201,23.5918354988963,23.8972605185489,23.6830322904897,23.4860346332201,23.5918354988963,23.8972605185489,23.6830322904897,4,NA,22.6157813823571,22.6478571446519,22.764802764405,21.3482407236973,22.6157813823571,22.6478571446519,22.764802764405,3
"YLR113W","HOG1","HOG1",1.65789693767271,1.58696772266012,23.5578908838796,22.2855410683268,23.8269681427116,24.0263957865008,23.5578908838796,22.2855410683268,23.8269681427116,24.0263957865008,4,22.5308149407079,NA,NA,NA,22.5308149407079,21.8724363104044,22.0360599445323,20.6258969350834,1
"YER139C","RTR1","RTR1",1.584691207347,1.44783069598281,23.2708485059993,22.7011075970575,23.0673660815476,22.8254743581705,23.2708485059993,22.7011075970575,23.0673660815476,22.8254743581705,4,NA,NA,NA,NA,21.6409626799387,21.8433575371617,22.0098235382943,20.0318879579923,0
"YDR214W","AHA1","AHA1",1.7347954637834,1.39228854714076,25.6877378974635,25.0075289825676,25.3799409639362,25.5338294565754,25.6877378974635,25.0075289825676,25.3799409639362,25.5338294565754,4,24.4811145328222,24.1297483760744,NA,23.9222511974266,24.4811145328222,24.1297483760744,22.1367413390859,23.9222511974266,3
"YGL070C","RPB9","RPB9",3.15573038438693,1.34137108827083,25.1685203279123,25.1517824228283,NA,25.6719025279045,25.1685203279123,25.1517824228283,21.3589634464519,25.6719025279045,3,NA,NA,NA,NA,21.0685444428749,21.1973445186518,21.9891913913824,20.4731668346401,0
"YHR025W","THR1","THR1",-1.11541849927958,1.77410935367344,NA,NA,NA,NA,21.6373680612292,21.2322331143815,21.1022278204694,21.3834532781795,0,NA,22.5962334417427,NA,23.1209820003578,21.9148677938378,22.5962334417427,22.1848730354395,23.1209820003578,2
"YDR375C","BCS1","BCS1",-1.28773380373062,1.62902991804981,24.9608447516948,23.8815703184077,24.8448888538096,25.0098795193313,24.9608447516948,23.8815703184077,24.8448888538096,25.0098795193313,4,26.2443063404441,26.1144793200891,26.4800514335049,25.0092815641279,26.2443063404441,26.1144793200891,26.4800514335049,25.0092815641279,4
"YDL189W","RBS1","RBS1",-1.30373934545066,1.53960812674601,21.5859582805013,21.5341679730948,NA,21.7957051785344,21.5859582805013,21.5341679730948,21.3434515262031,21.7957051785344,3,23.3509726232248,23.2848918604871,22.9832016899599,21.8551741664645,23.3509726232248,23.2848918604871,22.9832016899599,21.8551741664645,4
"YPR091C","NVJ2","NVJ2",-1.40860830637787,1.42456990449917,22.7041088096225,22.7026935224525,NA,23.1978753810071,22.7041088096225,22.7026935224525,21.8751933032966,23.1978753810071,3,24.6623171987404,24.3957793876663,24.279871818278,22.7763358372055,24.6623171987404,24.3957793876663,24.279871818278,22.7763358372055,4
